,S_a,S_q,S_sk,S_ku,S_z,S_10z,S_v,S_p,S_mean,S_sc,S_3a,S_dr,S_dq,S_dq6,S_bi,S_ci,S_vi,S_pk,S_vk,S_k,S_dc0-5,S_dc5-10,S_dc10-50,S_dc50-95,S_dc50-100,S_ds,S_td,S_tdi,S_rw,S_rwi,S_hw,S_fd,S_cl20,S_cl37,S_tr20,S_tr37
S_3a,0.5507654874287837,0.5586323498037713,-0.09725944698700165,-0.04449708230322192,0.7520612523128178,0.7676835057811233,-0.6873635604653602,0.7666034358162597,0.7340351381320976,0.9490471950525183,1.0,1.0,0.09109914968307713,0.10533787504394591,0.13702669694049718,-0.1571110937027083,0.13427620422699874,0.46193466850584813,0.5683618482097426,0.632046446679306,0.8589178628145913,0.5128147002642301,0.4806530979257123,0.5924011952377681,0.6954482225753208,0.2735813744507333,0.0334400905084779,0.32473312089039374,0.029795429485518617,0.3729992677623772,-0.37260731375302586,0.3833735374937823,9.600565733831824e-17,9.600565733831824e-17,0.1612112741691686,0.25667104806488744
S_dr,0.5507654874287838,0.5586323498037713,-0.09725944698700165,-0.04449708230322192,0.7520612523128178,0.7676835057811233,-0.6873635604653602,0.7666034358162596,0.7340351381320978,0.9490471950525183,1.0,1.0,0.09109914968307711,0.10533787504394591,0.1370266969404972,-0.1571110937027083,0.13427620422699876,0.46193466850584813,0.5683618482097427,0.632046446679306,0.8589178628145913,0.5128147002642301,0.4806530979257123,0.5924011952377681,0.6954482225753209,0.2735813744507332,0.03344009050847791,0.3247331208903938,0.02979542948551859,0.3729992677623772,-0.37260731375302586,0.3833735374937823,9.320563816694913e-17,9.320563816694913e-17,0.16121127416916858,0.25667104806488744
S_dq,0.15240191641496256,0.15326988331755817,-0.05452004966049354,-0.06661502863071218,0.1651258166320709,0.16568194663075822,-0.1575687910748568,0.1642411211126216,0.15667766713689166,0.1369651083620432,0.09109914968307713,0.09109914968307711,1.0,0.9950843370748097,0.01993511650038258,-0.024547596502868543,0.017442369275549187,0.13638557744601104,0.1313950645947814,0.15664530793410356,0.1548585787865286,0.13931986332123017,0.14454016980441964,0.15184878924257367,0.15548094035041973,-0.027270025871447962,0.025581227295808938,-0.0029861589013800934,-0.029056562491442037,0.01618912792860084,-0.016710916035108374,0.004912024943204579,-1.6436683183502917e-13,-1.6436683183502917e-13,-0.054021507599797194,0.014339880293841388
S_dq6,0.157708150354673,0.15874299158343394,-0.06179581836705879,-0.07331607705486023,0.17609650082256173,0.17920063297694788,-0.16659572923788135,0.17603725805416803,0.16719976682575366,0.15911426969784884,0.10533787504394591,0.10533787504394591,0.9950843370748097,1.0,0.0269728930436631,-0.033398775414716385,0.023280311998650615,0.14058094168004123,0.13771857425179415,0.16431253971775667,0.1705133640835216,0.1451205614552738,0.14850005109160846,0.15807384494913623,0.1648212542536112,0.01616554246536849,0.027201402508486964,0.014511343661928475,-0.03527720530917667,0.045827567339263395,-0.054235965796123664,0.05239200613012107,-4.5013996397485154e-13,-4.5013996397485154e-13,-0.04431310843547721,0.025037838735094766
S_bi,0.0020623396282409803,-0.01626425412005162,-0.6544876866593665,-0.22764769766372941,0.05646936882891144,0.00020775592806948886,-0.15616749742002525,-0.006566867472209319,0.2455530897082163,0.18032482261053792,0.13702669694049718,0.1370266969404972,0.01993511650038258,0.0269728930436631,1.0,-0.9822694420328477,0.5531484897640335,-0.2936954772492151,0.18156524819657763,0.12176136739337773,0.08220093131920189,-0.26544674758459885,-0.1126739022422433,0.1441755760145907,0.19838343749517723,-0.026588091279998397,-0.07256131000186364,0.18524305477389444,0.0011158547156000713,0.22005890126780703,-0.19448252116209616,0.21311638625039164,5.308837983228036e-15,5.308837983228036e-15,0.1181647948242385,0.1596367546643647
S_ci,-0.01776559729734721,-0.0010328073887016017,0.7356373347822773,0.31444174902622507,-0.07875313595090383,-0.019774152751199103,0.18681791122825966,-0.009840434554897713,-0.26545260295893003,-0.20688450103898454,-0.1571110937027083,-0.1571110937027083,-0.024547596502868543,-0.033398775414716385,-0.9822694420328477,1.0,-0.6484833305672123,0.27861271366187906,-0.23079851530155118,-0.13796135908506368,-0.09486662074808451,0.2496285862387076,0.09549452777384551,-0.17203538904893748,-0.23000808897334432,0.038468757995339865,0.03144276954542559,-0.21206759693761362,0.007370742721023721,-0.24128954304608613,0.20908580861249915,-0.2189472189430727,-1.241395081563253e-14,-1.241395081563253e-14,-0.12667995890219214,-0.17110671155847776
S_vi,0.004695562768846939,0.01693947652473575,-0.6758363564582137,-0.2567612333442294,0.12037627570833151,0.05482061415561306,-0.25103830641652003,0.03621247823061429,0.24901204949943323,0.1705706348149599,0.13427620422699874,0.13427620422699876,0.017442369275549187,0.023280311998650615,0.5531484897640335,-0.6484833305672123,1.0,-0.13182664030954816,0.45630889085709125,0.07787964727850687,0.08922333876277486,-0.06099140629424544,-0.07839761935512252,0.20708191134626638,0.29538482413549344,-0.04418231537044696,0.021129596464287595,0.15549489197060204,-0.004421257466641641,0.158243637052647,-0.08812748713223681,0.08448808761094513,-1.260353784440526e-14,-1.260353784440526e-14,0.11289447609652095,0.1468784840075686
S_pk,0.9042520382929703,0.9174191778353228,0.10276308231557565,-0.05339467294167327,0.856024766523579,0.8712626098281678,-0.7907788898407494,0.8674279567062624,0.687706921493968,0.4267753851743834,0.46193466850584813,0.46193466850584813,0.13638557744601104,0.14058094168004123,-0.2936954772492151,0.27861271366187906,-0.13182664030954816,1.0,0.6547957535177041,0.8186378533939355,0.6875909415066245,0.9543584023926259,0.9396411023273434,0.8052274821691618,0.747322408136359,-0.20053384820331654,0.15786658693317993,-0.03385089727742314,0.03474363134099464,-0.1554887082652588,0.17039811901588836,-0.26525754876687724,4.3797073568709973e-16,4.3797073568709973e-16,-0.058417115391063236,-0.09128828397614024
S_vk,0.7767712976568821,0.7920801789158846,-0.32491538856729496,-0.14392150971722878,0.835261899506755,0.7816037995928087,-0.9127789565866614,0.7597972475455679,0.8455422719610872,0.5496803868374188,0.5683618482097426,0.5683618482097427,0.1313950645947814,0.13771857425179415,0.18156524819657763,-0.23079851530155118,0.45630889085709125,0.6547957535177041,1.0,0.7953145056143354,0.6664563018284588,0.6946138316570402,0.708774950014483,0.8907020298138889,0.9235540906966772,-0.1536490058957402,0.017982525667759836,0.051008263986627285,0.05344977339907567,-0.03477767400038104,0.09843478969135265,-0.11340780853339887,-1.096186364521404e-16,-1.096186364521404e-16,0.02998231177993532,0.0373161701723253
S_k,0.97563813173658,0.9729269022358281,-0.22874209147753494,-0.22743812097728308,0.948599583192576,0.9268504622834588,-0.9516226994834148,0.9150363041976315,0.9040222779490402,0.6103535047306494,0.632046446679306,0.632046446679306,0.15664530793410356,0.16431253971775667,0.12176136739337773,-0.13796135908506368,0.07787964727850687,0.8186378533939355,0.7953145056143354,1.0,0.7748852987763587,0.8372511448070333,0.9271325346211764,0.9750452445035585,0.9382065630495734,-0.20459290347751558,0.10646177621808975,0.05075162466879128,0.021287255028112535,-0.03875549534022168,0.05880834367554357,-0.13963981711484902,4.263608457255358e-16,4.263608457255358e-16,0.0028877437087301483,-0.003976856259235707
