,S_a,S_q,S_sk,S_ku,S_z,S_10z,S_v,S_p,S_mean,S_sc,S_3a,S_dr,S_dq,S_dq6,S_bi,S_ci,S_vi,S_pk,S_vk,S_k,S_dc0-5,S_dc5-10,S_dc10-50,S_dc50-95,S_dc50-100,S_ds,S_td,S_tdi,S_rw,S_rwi,S_hw,S_fd,S_cl20,S_cl37,S_tr20,S_tr37
S_dc50-95,0.3564008381963643,0.373119700707394,-0.3851203695896015,-0.17315804559905276,0.07639078002238368,-0.020999429839996288,-0.11868195632944825,-0.014343215044338055,0.03255426283148654,0.11451097442948151,0.3590941019481596,0.3590941019481594,0.312992478144264,0.3209968973205837,0.08754551631497606,-0.22791669023735897,0.12999221195320335,-0.09045908177908388,0.1923494937917152,0.13394693110258646,-0.017512385123498352,-0.04847097078347239,-0.25155628695527255,1.0,0.13215322230658266,-0.10649281901661464,0.06077727034519552,-0.07127287220156123,0.018202718543867676,-0.01260591869158024,-0.06616691959044656,-0.06435357370536401,6.888906821897999e-14,6.888906821897999e-14,0.1060855829182579,0.1060855829182579
S_dc50-100,0.11875236275415672,0.11498154750135203,-0.1883735764159221,0.08260026228029854,0.6542049072019847,0.0074883913923825055,-0.9997928626926077,-0.10678034200139104,0.07906369152722059,0.12330685734220025,0.0830248655090327,0.08302486550903036,0.1022248011516598,0.08941650303606127,0.051243817694061174,-0.1622510026862775,0.2722640151933443,-0.0645317437298659,-0.013668310725448763,0.09307576486473583,-0.10690446051521471,0.02332516708617488,0.01572217001328445,0.13215322230658266,1.0,-0.044361252526958904,0.021161838666639,0.0667696809863083,0.049045040352579984,-0.09106012139611344,-0.03969420128008382,-0.019564110037955097,-3.5288321566782564e-15,-3.5288321566782564e-15,0.08279676241665344,0.08279676241665344
S_ds,-0.01357456951849164,0.003858293649062669,0.13375331413629243,0.054954158618806336,0.014777729604101042,0.16648000498764676,0.04143896752445392,0.05954021930795017,0.039041128078732446,-0.39252843835097145,0.11220485753326463,0.11220485753326376,-0.07922404495835739,0.049702328311749006,-0.1507729814618481,0.11744297123624227,-0.05991423832565599,-0.005064437768872392,-0.14792164678632214,0.056953420031464475,0.055687196464566546,0.1281438564198612,0.0848837949952978,-0.10649281901661464,-0.044361252526958904,1.0,-0.14965908288861648,-0.1618802959981521,0.020727757309770535,-0.07170105324776428,0.04223099660995334,0.03463689879949453,-9.18805035665739e-16,-9.18805035665739e-16,0.08117161483457994,0.08117161483457994
S_td,0.013267607731307356,-0.028658638760061906,-0.13390450664864964,-0.10135731274865709,0.1783626946101397,0.2085554774225429,-0.020004509001081243,0.2152969655256591,-0.1910150255490144,-0.11452012054219748,0.04674125837772659,0.04674125837772991,-0.08649245003162069,-0.07229301088785833,0.04621778732743545,-0.047965390006703426,-0.02268799930344774,-0.08208402184860485,0.0718566370673,0.03314250012553155,0.21626416956841377,0.08352927772418685,-0.15343933669751172,0.06077727034519552,0.021161838666639,-0.14965908288861648,1.0,-0.0872309465826977,0.24034442875144324,0.004813885086512876,0.03343924175704213,-0.1039410084458908,0.0,0.0,0.12832464098709526,0.12832464098709526
S_tdi,0.16117775806959253,0.12670615203806787,0.08582732585971316,-0.07167519583171732,0.09150664472290525,-0.06090158911484733,-0.06785888731143219,0.05472242303004912,0.06608766677911881,0.19595370436535395,0.06708600931065166,0.06708600931065238,0.1884655407373662,0.07110177277687867,0.09856482483460642,-0.0661917233076441,0.04429717328664561,-0.1442313350758641,0.008046116952892972,0.21754391777148102,0.05512535843657774,-0.06740977183943642,0.07595539395669745,-0.07127287220156123,0.0667696809863083,-0.1618802959981521,-0.0872309465826977,1.0,-0.05170656473843168,0.022854014718047086,0.0032867208795129884,0.02681968785336661,1.0797954694491841e-15,1.0797954694491841e-15,0.08543469667816107,0.08543469667816107
S_rw,0.13428360271255763,0.07234332107560786,0.0761585699579309,-0.11746834851506996,0.08846168088291806,0.05512661226823675,-0.04834865391101853,0.06959562456658581,-0.012350317662459349,-0.11165948477231355,0.037297331607970365,0.03729733160797318,-0.029347208556049453,-0.06780024135642307,0.05900712988598963,-0.0815170668573933,0.16180222924901633,0.21546376758285032,-0.21613858648113835,0.11326632738055518,0.06976890127603373,0.05557132505874119,-0.07849552020115734,0.018202718543867676,0.049045040352579984,0.020727757309770535,0.24034442875144324,-0.05170656473843168,1.0,-0.3287531044907904,0.3735996342541346,-0.4834081970198985,3.065670686955191e-17,3.065670686955191e-17,-0.05249758137140889,-0.05249758137140889
S_rwi,-0.18764754268229192,-0.17310652150716332,-0.047665916792134645,0.13438423673847724,-0.0321159381146228,-0.020731041093296494,0.0933093096441226,0.04803935637580844,-0.11787982747843907,-0.09728436546476708,-0.12335372753902109,-0.12335372753902206,-0.11696695989305422,-0.03568486336104019,0.1594536522837666,0.0037419188660993323,-0.18656961416113188,0.014047695892482052,0.1661941972893367,-0.22075629733648963,0.054165878677567024,-0.17043701207769243,-0.11027598010319653,-0.01260591869158024,-0.09106012139611344,-0.07170105324776428,0.004813885086512876,0.022854014718047086,-0.3287531044907904,1.0,-0.4219041834657472,0.4351865196796769,-3.8948995342755424e-16,-3.8948995342755424e-16,-0.13958826812561162,-0.13958826812561162
S_hw,0.2626453043715874,0.24457812283873973,0.0952225446824296,-0.02664001826941536,-0.09725096959204177,-0.13056426108248628,0.036637468131689624,-0.09249121605745586,-0.1282188837622456,0.005533316046155704,0.07741202904408259,0.07741202904408172,0.03458768611189063,-0.04920507796425067,0.019680056057141345,-0.017018807375613974,0.04675971754613814,0.061647765678568646,-0.12442175875664047,0.2393142415165081,-0.09527425214378045,0.07899662368725795,0.11189341515175229,-0.06616691959044656,-0.03969420128008382,0.04223099660995334,0.03343924175704213,0.0032867208795129884,0.3735996342541346,-0.4219041834657472,1.0,-0.7403158165632326,8.593668610309628e-14,8.593668610309628e-14,-0.23993001124532873,-0.23993001124532873
S_fd,-0.1963662147532602,-0.1635699082310362,-0.04047366954726462,0.12772639982922795,0.05230978733884216,0.09814044770323407,0.018769564562890174,0.08698134229531185,0.20943969739482252,-0.041977554476172005,-0.04810181584030819,-0.04810181584030636,0.008193532347388658,0.049222778275042116,-0.062637198622544,0.07444397974010603,-0.1409212788418232,-0.088508536210443,0.19866064856540602,-0.1519571676549258,0.08758801690683751,0.02522752772384343,-0.024919679460009142,-0.06435357370536401,-0.019564110037955097,0.03463689879949453,-0.1039410084458908,0.02681968785336661,-0.4834081970198985,0.4351865196796769,-0.7403158165632326,1.0,-8.540759830009008e-15,-8.540759830009008e-15,0.12437387703358257,0.12437387703358257
S_cl20,2.5204811686547174e-14,-1.7994507807181115e-13,-1.1386505778974357e-17,-2.730943304809233e-14,4.29291541090093e-15,8.092457384991869e-15,-4.435783529186634e-15,8.787930890495812e-15,7.052880931004897e-17,-9.581266022039563e-15,-1.2584475710765084e-14,-4.2597052005860924e-14,-1.3122558606916157e-12,-8.044261731184731e-13,2.2597304914421717e-14,-1.6799611505962642e-14,-8.250367263019062e-15,-1.526101849075333e-14,-2.8443665037764033e-14,-1.005657515648424e-13,-3.0640209989135293e-15,1.4184547273685772e-14,1.98668801761087e-14,6.888906821897999e-14,-3.5288321566782564e-15,-9.18805035665739e-16,0.0,1.0797954694491841e-15,3.065670686955191e-17,-3.8948995342755424e-16,8.593668610309628e-14,-8.540759830009008e-15,1.0,1.0,-2.350246232473735e-15,-2.350246232473735e-15
S_cl37,2.5204811686547174e-14,-1.7994507807181115e-13,-1.1386505778974357e-17,-2.730943304809233e-14,4.29291541090093e-15,8.092457384991869e-15,-4.435783529186634e-15,8.787930890495812e-15,7.052880931004897e-17,-9.581266022039563e-15,-1.2584475710765084e-14,-4.2597052005860924e-14,-1.3122558606916157e-12,-8.044261731184731e-13,2.2597304914421717e-14,-1.6799611505962642e-14,-8.250367263019062e-15,-1.526101849075333e-14,-2.8443665037764033e-14,-1.005657515648424e-13,-3.0640209989135293e-15,1.4184547273685772e-14,1.98668801761087e-14,6.888906821897999e-14,-3.5288321566782564e-15,-9.18805035665739e-16,0.0,1.0797954694491841e-15,3.065670686955191e-17,-3.8948995342755424e-16,8.593668610309628e-14,-8.540759830009008e-15,1.0,1.0,-2.350246232473735e-15,-2.350246232473735e-15
S_tr20,0.06121736065598663,0.08427110571544576,0.012887355180479076,-0.046731128506134305,0.0591077717580547,0.034674490630408145,-0.08354954313696256,-0.0030847497109152086,0.07938399351655685,-0.009152525063947124,0.31449400495461616,0.3144940049546186,0.17461083089692578,0.22156913163797162,-0.08955669373460665,0.07367183193862299,-0.06869481645114056,0.031911911210380846,-0.003986093147823203,-0.07269789606125836,-0.006379583521472712,0.06852962122370494,0.06519496377493235,0.1060855829182579,0.08279676241665344,0.08117161483457994,0.12832464098709526,0.08543469667816107,-0.05249758137140889,-0.13958826812561162,-0.23993001124532873,0.12437387703358257,-2.350246232473735e-15,-2.350246232473735e-15,1.0,1.0
S_tr37,0.06121736065598663,0.08427110571544576,0.012887355180479076,-0.046731128506134305,0.0591077717580547,0.034674490630408145,-0.08354954313696256,-0.0030847497109152086,0.07938399351655685,-0.009152525063947124,0.31449400495461616,0.3144940049546186,0.17461083089692578,0.22156913163797162,-0.08955669373460665,0.07367183193862299,-0.06869481645114056,0.031911911210380846,-0.003986093147823203,-0.07269789606125836,-0.006379583521472712,0.06852962122370494,0.06519496377493235,0.1060855829182579,0.08279676241665344,0.08117161483457994,0.12832464098709526,0.08543469667816107,-0.05249758137140889,-0.13958826812561162,-0.23993001124532873,0.12437387703358257,-2.350246232473735e-15,-2.350246232473735e-15,1.0,1.0
