S_a,S_q,S_sk,S_ku,S_z,S_10z,S_v,S_p,S_mean,S_sc,S_2a,S_3a,S_dr,S_dq,S_dq6,S_bi,S_ci,S_vi,S_pk,S_vk,S_k,S_dc0-5,S_dc5-10,S_dc10-50,S_dc50-95,S_dc50-100,S_ds,S_td,S_tdi,S_rw,S_rwi,S_hw,S_fd,S_cl20,S_cl37,S_tr20,S_tr37
373.3606522679943,476.34194228374116,-0.3494122090071269,2.6517944124614945,2601.8249323160026,6860.130978422808,-1417.5463673896102,1184.2785649263924,1043.217474001478,69229.97619451488,25.0,78278021.51692486,313111986.06769943,89.97417809776711,89.974617317427,0.6419976774129393,1.435600783698243,0.13513866073333772,347.8044675038737,643.1889067652155,962.6752249569212,442.31023849372014,109.27664715727224,577.6051349741526,952.267925227657,1472.6329116908576,139.2,90.0,0.5427227392698879,4.98046875,0.016683310135832782,4.98046875,2.3073481952409685,0.013810679320049757,0.013810679320049757,102.0058520541386,124.09570850843366
90.53195400323916,121.40149935850746,1.0577878419189921,4.556370826939416,901.4474528782162,3134.2133340855976,-326.69968195777386,574.7477709204423,128.85296427602196,86937.00464784626,25.0,130795857.52162549,523183330.0865019,89.97675229821009,89.97915692513297,0.478274098179035,2.0456398232515984,0.08000489258519584,230.98757409869816,79.1370001466501,247.8980495415094,320.91529322464504,90.14474528782159,183.8952803871561,138.82290774324528,306.4921339785935,211.4,90.0,0.2557907492564339,4.98046875,0.03712365721982286,1.66015625,2.4663015901473893,0.013810679320049757,0.013810679320049757,128.34142498632843,141.925764726729
41.518735100136205,57.98937648935036,1.154854327609154,5.242921964541963,376.3047446432109,1400.4939174744509,-109.26168648762899,267.0430581555819,56.64966594724782,15524.156201950529,25.0,4475466.7148819305,17901766.859527722,89.88675598577103,89.89041584837308,0.5041855574450309,1.922638532700987,0.10323727742026595,111.82015702687734,54.25312960582097,94.0761861608027,152.02711683585719,39.88830293218035,84.29226280007924,80.52921535364713,100.0970620750941,176.0,0.0,0.3599323504751763,4.98046875,0.02367191911893206,2.490234375,2.3402023562671035,0.013810679320049757,0.013810679320049757,54.11960479093165,151.80547011115084
138.4654838767283,166.2630541506453,0.4195559997008556,2.681135435679963,994.671638755104,3237.115668286359,-406.7353701304654,587.9362686246386,231.76816322352596,51850.195943367675,25.0,46374087.13259032,185496248.5303613,89.96357396322857,89.96540726173302,0.5904701579560647,1.647650711260861,0.07514130037811723,203.84404614193537,55.391186395572,477.4423866024499,306.35886473657206,75.59504454538785,220.81710380363313,228.77447691367394,391.900625669511,185.36,0.703125,0.4005382504096397,4.98046875,0.015767981819725163,4.98046875,2.3878424333743746,0.013810679320049757,0.013810679320049757,97.55634674472074,100.66376287884785
373.17618598815073,448.63969929996784,0.1705420668881972,2.292477050178983,2239.1049411044423,7220.182289776511,-960.2241153025398,1278.8808258019028,572.0144399253775,88817.14511283298,25.0,144260243.35363144,577040873.4145257,89.98069405651069,89.98115829054126,0.5907752039003247,1.6247164132862995,0.08605612647728408,366.38536197561984,160.66370369307748,1309.8763905460983,519.4723463362309,170.17197552393782,626.9493835092437,694.1225317423771,922.5112357350301,157.68,135.0,0.551666416585645,4.98046875,0.017144205307975294,4.98046875,2.349168228739361,0.013810679320049757,0.013810679320049757,108.6577937420423,100.79015769172092
313.92972448801225,407.5307182876456,0.5450951245304358,3.2138141358278345,2722.9990808906277,5649.756703746209,-1078.5326696631744,1644.4664112274534,499.1620886803712,13268.00236815269,25.0,33686957.892296046,134747731.56918418,89.9665712405269,89.93337533124738,0.5234465392687824,1.8196040135796148,0.11537107229567778,646.4103653559916,353.14010322492805,748.824747244923,865.9137077232197,174.27194117700014,675.3037720608756,544.5998161781256,1007.5096599295323,46.04,135.0,0.5452131461400838,4.98046875,0.01568450088605972,4.98046875,2.2852296952569002,0.013810679320049757,0.013810679320049757,103.09908062751377,108.85590571640165
403.48848433694445,515.0497981861272,0.8808944844786196,3.406837806774451,2732.0395909751196,9300.64062951041,-1027.0635167443018,1704.9760742308179,469.18192574890486,10111.981225711,25.0,77845664.91083351,311382559.64333403,89.9785247314067,89.9673396368461,0.49602313731510206,1.9815509230133272,0.06197722653411075,860.6987419540359,222.67795698766312,1106.476034344923,666.6176601979291,256.81172155166155,890.6449066578888,562.8001557408746,917.9653025676402,35.96,90.0,0.3608256903903795,4.98046875,0.032057879997000965,1.66015625,2.2079309111599104,0.013810679320049757,0.013810679320049757,78.3643079820255,54.6268328075185
295.0849426126557,380.5227799641777,1.0303621897508195,4.000378694563997,2234.2234942849864,7248.810323998531,-606.1122496316638,1628.1112446533225,366.2117049877922,48541.538572593,25.0,60287993.746429846,241151874.98571938,89.97154651381416,89.96803101762137,0.46955776656915266,2.108026899755925,0.049323274806260885,677.4098004554861,81.96095675578853,871.3471627711444,817.7257989083049,312.7912891998981,571.9612145369565,402.16022897129756,531.7451916398268,157.8,90.0,0.26680656813933984,4.98046875,0.019215176592815044,4.98046875,2.295041914105366,0.013810679320049757,0.013810679320049757,84.62346512303908,63.70759988854257
206.78624411371842,250.53471551107273,0.5424468267013299,2.500260987743903,1221.2223661301955,4106.513382604638,-485.5963414023257,735.6260247278699,272.2089469885877,31428.760121802385,25.0,26914966.65304668,107659766.61218672,89.95816681211546,89.95394585197327,0.5393472744419947,1.7895487169048825,0.08364800096826344,350.4520995296026,124.78671153262788,488.48894645207815,271.11136528090344,83.04312089685334,446.96738600365154,300.42070206802816,420.1004939487873,142.56,120.234375,0.4954165626319029,2.490234375,0.023050183997887465,2.490234375,2.30447363911951,0.013810679320049757,0.013810679320049757,85.0931686823484,45.84618343711955
559.6389646958617,668.0252499377257,-0.26847506214178535,2.191651725613078,2835.1935246700486,7975.752610638438,-1542.4323979819433,1292.7611266881052,1356.3017525199316,66277.87062359104,25.0,119109102.66998161,476436310.67992646,89.98094371809798,89.97696833834208,0.6438216074771375,1.4564959599403213,0.10620312008043896,250.8166464484726,556.0188926069131,1800.3478881654805,255.16741722030406,181.45238557888342,771.1726387102531,1292.848247249542,1627.4010831606079,112.72,0.0,0.3162701031287955,4.98046875,0.022941072325594693,2.490234375,2.284198731460778,0.013810679320049757,0.013810679320049757,76.6666016756107,48.777308743258544
